Comment,Designator,Footprint,LCSC,Quantity
470,"R10,R11,R12,R2",R_0402_1005Metric,C11702,4
100n,"C1,C11,C12,C13,C14,C15,C16,C17,C18,C2,C20,C21,C22,C23,C24,C25,C26,C29,C30,C5,C8",C_0402_1005Metric,C1525,21
15p,"C3,C4",C_0402_1005Metric,C1548,2
10u,C19,C_0402_1005Metric,C15525,1
Conn_01x04_Pin,J2,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,C160390,1
SM08B-SRSS-TB(LF)(SN),"U15,U3,U4",CONN-TH_SM08B-SRSS-TB-LF-SN,C160407,3
ABM8-272-T3,Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C20625731,1
RED,D1,LED_0603_1608Metric,C2286,1
4.7u,"C10,C6,C7,C9",C_0402_1005Metric,C23733,4
100,"R15,R4,R6",R_0402_1005Metric,C25076,3
33,R3,R_0402_1005Metric,C25105,1
10K,"R1,R5",R_0402_1005Metric,C25744,2
5k1,"R13,R14",R_0402_1005Metric,C25905,2
CONN_USB,J3,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
BH-00018,"U5,U6,U7,U8",CONN-SMD_321016MG0CBK00A0,C2829931,4
3.3u,L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119,1
RP2350_80QFN,U1,QFN-80_L10.0-W10.0-P0.40-TL-EP3.4,C42415655,1
TS-1089S-02526,"U16,U17",SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,C455282,2
22uF,"C27,C28",C_0603_1608Metric,C45783,2
27,"R7,R8",R_0402_1005Metric,C5151586,2
Jumper_3_Open,JP1,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,C5967212,1
AMS1117-3.3,U13,SOT-223-3_TabPin2,C6186,1
W25Q64JWUUIQ,U2,USON-8_L3.0-W2.0-P0.50-BL-EP,C6604692,1
TXS0108ERGYR,"U10,U11,U12,U9",VQFN-20_L4.6-W3.6-P0.50-BL-EP,C90706,4
